base_obj_Count,base_features_Count,base_persent_Categorial_features,base_class_Count,base_all_percent_of_nans,base_target_type,cat_meta_categCount_min,cat_meta_categCount_max,cat_meta_categCount_mean,cat_meta_entropy_min,cat_meta_entropy_max,cat_meta_entropy_mean,cat_meta_percent_nans_min,cat_meta_percent_nans_max,cat_meta_percent_nans_mean,disc_meta_min_min,disc_meta_min_max,disc_meta_min_mean,disc_meta_max_min,disc_meta_max_max,disc_meta_max_mean,disc_meta_mean_min,disc_meta_mean_max,disc_meta_mean_mean,disc_meta_variation_min,disc_meta_variation_max,disc_meta_variation_mean,disc_meta_skew_min,disc_meta_skew_max,disc_meta_skew_mean,disc_meta_kurtosis_min,disc_meta_kurtosis_max,disc_meta_kurtosis_mean,disc_meta_percent_of_nans_min,disc_meta_percent_of_nans_max,disc_meta_percent_of_nans_mean,model_min,model_max,model_kurtosis,model_variation,RF,SGD,kNN
898,31,0.81,5,0.0,0,0,897,233.85,0.01,1.42,0.41,0.0,0.0,0.0,0.0,0.24,0.04,4.0,4880.0,1210.67,1.2,1263.09,348.5,0.52,3.77,2.06,0.07,3.76,2.02,-0.97,13.14,4.62,0.0,0.0,0.0,-0.56,0.98,14.04,44.92,1.0,0.054054054054054106,0.0
148,18,0.83,4,0.0,0,0,141,37.63,0.19,1.75,0.77,0.0,0.0,0.0,1.0,1.0,1.0,3.0,8.0,5.0,1.06,2.6,2.05,0.29,0.73,0.45,0.33,5.39,2.3,-0.53,28.71,9.51,0.0,0.0,0.0,-0.18,0.18,0.53,-44.49,0.8367346938775511,0.0,1.0
76,45,1.0,2,0.0,-1000,0,75,11.92,0.07,4.33,0.86,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.03,0.04,8.38,33.86,1.0,1.0,1.0
339,17,1.0,2,0.0,-1000,0,332,97.68,0.1,1.22,0.56,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.08,0.09,2.63,-57.09,1.0,0.0,0.9552238805970149
214,9,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,69.81,9.75,0.51,75.41,14.26,0.06,72.65,11.27,0.0,2.83,0.77,-1.14,6.51,1.64,-0.43,53.39,9.65,0.0,0.0,0.0,-0.1,0.05,-0.74,-8.15,1.0,0.0,0.5925925925925924
148,18,0.83,2,0.0,-1000,0,141,37.63,0.19,1.75,0.77,0.0,0.0,0.0,1.0,1.0,1.0,3.0,8.0,5.0,1.06,2.6,2.05,0.29,0.73,0.45,0.33,5.39,2.3,-0.53,28.71,9.51,0.0,0.0,0.0,-0.09,0.09,0.57,-9.12,1.0,0.0,0.6585365853658537
107,12,0.75,2,0.031931464174454825,-1000,0,87,4.89,0.59,4.67,1.65,0.0,0.0,0.0,1.0,1818.0,874.33,6.0,4558.0,2183.33,2.63,1905.23,1158.44,0.02,0.02,0.02,-0.11,-0.11,-0.11,-0.4,-0.4,-0.4,0.0,26.0,13.67,-0.05,0.07,-0.35,-52.87,1.0,0.0,0.576923076923077
379,8,1.0,2,0.0,-1000,0,318,7.31,0.6,5.94,1.73,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.04,0.04,-1.57,294.29,1.0,0.0,0.5
63,31,0.13,2,0.0,-1000,0,36,12.6,0.96,1.95,1.27,0.0,0.0,0.0,0.0,0.0,0.0,7.69,100.0,44.47,0.43,30.52,13.59,0.44,2.97,0.99,-0.43,5.94,1.25,-1.05,39.04,4.67,0.0,0.0,0.0,-0.11,0.12,-0.13,-19.77,1.0,0.0,0.7599999999999998
366,34,0.97,2,0.0006428801028608164,-1000,0,345,74.56,0.27,1.37,0.83,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,36.3,36.3,36.3,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,8.0,8.0,8.0,-0.08,0.05,11.97,24.29,1.0,0.0,0.909090909090909
336,7,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.5,0.17,0.88,1.0,0.97,0.5,0.5,0.5,0.05,0.43,0.29,-0.17,18.25,3.59,-1.05,331.0,51.19,0.0,0.0,0.0,-0.01,0.28,-0.35,1.09,0.8823529411764706,0.0,1.0
194,29,0.93,2,0.0,-1000,0,183,15.45,0.22,5.27,1.03,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,22402.0,11705.0,23.27,700.05,361.66,3.09,3.94,3.52,6.71,8.5,7.6,54.98,79.92,67.45,0.0,0.0,0.0,-0.05,0.06,-0.03,-192.72,1.0,0.3750000000000003,0.0
138,2,0.5,2,0.0,-1000,0,90,34.5,0.84,0.84,0.84,0.0,0.0,0.0,53.0,53.0,53.0,81.0,81.0,81.0,69.57,69.57,69.57,0.1,0.1,0.1,-0.61,-0.61,-0.61,-0.02,-0.02,-0.02,0.0,0.0,0.0,-0.05,0.02,-0.54,-2.01,1.0,1.0,1.0
797,4,1.0,2,0.0,-1000,0,408,127.52,0.69,2.14,1.4,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.03,0.03,0.44,-21.18,0.0,1.0,0.3333333333333333
72,3,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,45.9,120.2,72.17,899.1,2567.0,1505.9,338.57,1184.44,641.22,0.62,0.84,0.75,0.04,0.84,0.36,-1.94,-0.15,-1.11,0.0,0.0,0.0,-0.16,0.04,-1.5,-1.42,0.923076923076923,0.0,1.0
990,13,0.23,2,0.0,-1000,0,528,135.0,0.69,2.71,1.36,0.0,0.0,0.0,-5.21,-0.84,-1.95,-0.94,5.07,1.82,-3.2,1.88,-0.1,-105.78,1.7,-11.52,-0.21,0.36,0.09,-0.76,0.15,-0.4,0.0,0.0,0.0,-0.07,0.14,4.96,97.15,0.9887640449438202,0.0,1.0
683,35,1.0,2,0.0,-1000,0,639,142.29,0.26,1.87,0.92,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.07,0.08,4.38,400.38,0.818181818181818,0.0,1.0
400,5,1.0,2,0.0,-1000,0,200,86.96,0.69,1.61,1.2,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.09,0.13,0.49,-4.354871366893405e+16,1.0,0.0,1.0
155,8,0.75,2,0.0,-1000,0,123,17.88,0.65,2.99,1.67,0.0,0.0,0.0,0.0,1.0,0.5,5.0,10.0,7.5,2.18,5.34,3.76,0.49,0.58,0.53,0.21,0.54,0.38,-1.28,-0.32,-0.8,0.0,0.0,0.0,-0.08,0.05,0.03,-197.59,0.4705882352941178,0.0,1.0
488,4,0.0,9,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,2.0,1.0,8.0,9.0,8.5,5.08,5.61,5.39,0.17,0.3,0.24,-0.46,-0.15,-0.3,-0.21,0.53,0.09,0.0,0.0,0.0,-0.31,0.03,-0.92,-1.37,1.0,0.0,0.34782608695652184
